municipality_code,metric,metric_label,period,value,unit,source_id,quality
3428,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2023,14.6536412078153,rate,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2023,33,personer,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2023,10.6571936056838,rate,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2023,24,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2023,300.621669626998,rate,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2023,677,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2023,260.213143872114,rate,fhi_nokkel_370,ekte
3428,kpr_l01_l29_0_74_antall,Muskel- og skjelettplager – antall,2023,586,personer,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_rate,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – per 1000,2023,107.015985790409,rate,fhi_nokkel_370,ekte
3428,kpr_l70_l71ogl82_l99_0_74_antall,Muskel- og skjelettsykdomsdiagnoser (ekskl. brudd og skader) – antall,2023,241,personer,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_rate,Skader – per 1000,2023,111.01243339254,rate,fhi_nokkel_370,ekte
3428,kpr_skader_0_74_antall,Skader – antall,2023,250,personer,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_rate,"Hjerte- og karsykdomsdiagnoser, totalt – per 1000",2024,68.0604982206406,rate,fhi_nokkel_370,ekte
3428,kpr_k70_k99_0_74_antall,"Hjerte- og karsykdomsdiagnoser, totalt – antall",2024,153,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_rate,Psykiske symptomer og lidelser – per 1000,2024,116.992882562278,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29ogp70_p99_0_74_antall,Psykiske symptomer og lidelser – antall,2024,263,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_rate,Psykiske symptomer – per 1000,2024,86.2989323843416,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p29_0_74_antall,Psykiske symptomer – antall,2024,194,personer,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_rate,"Angst og depresjon, symptomer – per 1000",2024,53.8256227758007,rate,fhi_nokkel_370,ekte
3428,kpr_p01_p04ogp25ogp28_p29_0_74_antall,"Angst og depresjon, symptomer – antall",2024,121,personer,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_rate,Psykiske lidelser – per 1000,2024,47.153024911032,rate,fhi_nokkel_370,ekte
3428,kpr_p70_p99_0_74_antall,Psykiske lidelser – antall,2024,106,personer,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_rate,Affektive og depressive lidelser – per 1000,2024,18.6832740213523,rate,fhi_nokkel_370,ekte
3428,kpr_p73ogp76_0_74_antall,Affektive og depressive lidelser – antall,2024,42,personer,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_rate,Angstlidelser – per 1000,2024,10.6761565836299,rate,fhi_nokkel_370,ekte
3428,kpr_p74ogp79ogp82_0_74_antall,Angstlidelser – antall,2024,24,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_rate,Muskel og skjelett (ekskl. brudd og skader) – per 1000,2024,320.284697508897,rate,fhi_nokkel_370,ekte
3428,kpr_l01_l29ogl70_l71ogl82_l99_0_74_antall,Muskel og skjelett (ekskl. brudd og skader) – antall,2024,720,personer,fhi_nokkel_370,ekte
3428,kpr_l01_l29_0_74_rate,Muskel- og skjelettplager – per 1000,2024,275.800711743772,rate,fhi_nokkel_370,ekte
