municipality_code,metric,metric_label,period,value,unit,source_id,quality
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2017,368,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2018,392,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2019,391,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2020,390,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2021,414,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2022,384,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2023,384,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2024,399,personer,ssb_12292,ekte
1833,hjemmetjeneste_brukere_80pluss,Hjemmetjenester - brukere 80 år og over (antall),2025,397,personer,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2015,86546,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2016,86400,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2017,85119,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2018,84910,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2019,85152,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2020,86142,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2021,87737,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2022,84860,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2023,82162,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2024,81371,dogn,ssb_12292,ekte
1833,inst_oppholdsdogn,Institusjon - oppholdsdøgn totalt (antall),2025,79338,dogn,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2015,689,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2016,715,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2017,728,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2018,758,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2019,781,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2020,792,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2021,810,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2022,799,arsverk,ssb_12292,ekte
1833,omsorg_arsverk_brukerrettet,Brukerrettede årsverk i omsorgstjenesten (antall),2023,789,arsverk,ssb_12292,ekte
