hf_id,hf_navn,helseregion,tjenesteomrade,metric,period,value,unit,source_id,quality
983974724,Helse Bergen HF,H03,BUP,dognplasser,2025,23,senger,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2015,321,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2016,324,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2017,432,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2018,434,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2019,405,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2020,459,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2021,537,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2022,582,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2023,605,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2024,578,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,utskrivninger,2025,520,antall,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,liggedager,2015,4490,dogn,ssb_13942,ekte
983974724,Helse Bergen HF,H03,BUP,liggedager,2016,4689,dogn,ssb_13942,ekte
