municipality_code,aldersgruppe,period,value,unit,source_id,quality
1517,alle,2015,5065,personer,ssb_07459,ekte
1520,0-17,2015,2390,personer,ssb_07459,ekte
1520,18-29,2015,1576,personer,ssb_07459,ekte
1520,30-49,2015,2637,personer,ssb_07459,ekte
1520,50-66,2015,2253,personer,ssb_07459,ekte
1520,67-79,2015,1101,personer,ssb_07459,ekte
1520,80-89,2015,508,personer,ssb_07459,ekte
1520,90+,2015,124,personer,ssb_07459,ekte
1520,alle,2015,10589,personer,ssb_07459,ekte
1525,0-17,2015,946,personer,ssb_07459,ekte
1525,18-29,2015,707,personer,ssb_07459,ekte
1525,30-49,2015,1144,personer,ssb_07459,ekte
1525,50-66,2015,944,personer,ssb_07459,ekte
1525,67-79,2015,542,personer,ssb_07459,ekte
1525,80-89,2015,240,personer,ssb_07459,ekte
1525,90+,2015,82,personer,ssb_07459,ekte
1525,alle,2015,4605,personer,ssb_07459,ekte
1528,0-17,2015,1786,personer,ssb_07459,ekte
1528,18-29,2015,1057,personer,ssb_07459,ekte
1528,30-49,2015,2023,personer,ssb_07459,ekte
1528,50-66,2015,1683,personer,ssb_07459,ekte
1528,67-79,2015,754,personer,ssb_07459,ekte
1528,80-89,2015,315,personer,ssb_07459,ekte
1528,90+,2015,89,personer,ssb_07459,ekte
1528,alle,2015,7707,personer,ssb_07459,ekte
1531,0-17,2015,2267,personer,ssb_07459,ekte
1531,18-29,2015,1302,personer,ssb_07459,ekte
1531,30-49,2015,2434,personer,ssb_07459,ekte
1531,50-66,2015,1683,personer,ssb_07459,ekte
1531,67-79,2015,730,personer,ssb_07459,ekte
1531,80-89,2015,352,personer,ssb_07459,ekte
1531,90+,2015,87,personer,ssb_07459,ekte
1531,alle,2015,8855,personer,ssb_07459,ekte
1532,0-17,2015,2067,personer,ssb_07459,ekte
1532,18-29,2015,1192,personer,ssb_07459,ekte
1532,30-49,2015,2112,personer,ssb_07459,ekte
1532,50-66,2015,1543,personer,ssb_07459,ekte
1532,67-79,2015,678,personer,ssb_07459,ekte
1532,80-89,2015,275,personer,ssb_07459,ekte
1532,90+,2015,57,personer,ssb_07459,ekte
1532,alle,2015,7924,personer,ssb_07459,ekte
1535,0-17,2015,1376,personer,ssb_07459,ekte
1535,18-29,2015,1033,personer,ssb_07459,ekte
1535,30-49,2015,1711,personer,ssb_07459,ekte
1535,50-66,2015,1512,personer,ssb_07459,ekte
1535,67-79,2015,756,personer,ssb_07459,ekte
1535,80-89,2015,252,personer,ssb_07459,ekte
1535,90+,2015,68,personer,ssb_07459,ekte
1535,alle,2015,6708,personer,ssb_07459,ekte
1539,0-17,2015,1563,personer,ssb_07459,ekte
1539,18-29,2015,1020,personer,ssb_07459,ekte
1539,30-49,2015,1798,personer,ssb_07459,ekte
1539,50-66,2015,1695,personer,ssb_07459,ekte
1539,67-79,2015,853,personer,ssb_07459,ekte
1539,80-89,2015,391,personer,ssb_07459,ekte
1539,90+,2015,125,personer,ssb_07459,ekte
1539,alle,2015,7445,personer,ssb_07459,ekte
1547,0-17,2015,850,personer,ssb_07459,ekte
1547,18-29,2015,494,personer,ssb_07459,ekte
1547,30-49,2015,885,personer,ssb_07459,ekte
1547,50-66,2015,669,personer,ssb_07459,ekte
1547,67-79,2015,387,personer,ssb_07459,ekte
1547,80-89,2015,149,personer,ssb_07459,ekte
1547,90+,2015,32,personer,ssb_07459,ekte
1547,alle,2015,3466,personer,ssb_07459,ekte
1554,0-17,2015,1294,personer,ssb_07459,ekte
1554,18-29,2015,797,personer,ssb_07459,ekte
1554,30-49,2015,1455,personer,ssb_07459,ekte
1554,50-66,2015,1336,personer,ssb_07459,ekte
1554,67-79,2015,644,personer,ssb_07459,ekte
1554,80-89,2015,203,personer,ssb_07459,ekte
1554,90+,2015,65,personer,ssb_07459,ekte
1554,alle,2015,5794,personer,ssb_07459,ekte
1557,0-17,2015,575,personer,ssb_07459,ekte
1557,18-29,2015,309,personer,ssb_07459,ekte
1557,30-49,2015,622,personer,ssb_07459,ekte
1557,50-66,2015,616,personer,ssb_07459,ekte
1557,67-79,2015,309,personer,ssb_07459,ekte
1557,80-89,2015,112,personer,ssb_07459,ekte
1557,90+,2015,37,personer,ssb_07459,ekte
1557,alle,2015,2580,personer,ssb_07459,ekte
1560,0-17,2015,613,personer,ssb_07459,ekte
1560,18-29,2015,406,personer,ssb_07459,ekte
1560,30-49,2015,727,personer,ssb_07459,ekte
1560,50-66,2015,724,personer,ssb_07459,ekte
1560,67-79,2015,431,personer,ssb_07459,ekte
1560,80-89,2015,149,personer,ssb_07459,ekte
1560,90+,2015,40,personer,ssb_07459,ekte
1560,alle,2015,3090,personer,ssb_07459,ekte
1563,0-17,2015,1462,personer,ssb_07459,ekte
1563,18-29,2015,1050,personer,ssb_07459,ekte
1563,30-49,2015,1697,personer,ssb_07459,ekte
1563,50-66,2015,1710,personer,ssb_07459,ekte
1563,67-79,2015,785,personer,ssb_07459,ekte
1563,80-89,2015,366,personer,ssb_07459,ekte
1563,90+,2015,85,personer,ssb_07459,ekte
1563,alle,2015,7155,personer,ssb_07459,ekte
1566,0-17,2015,1214,personer,ssb_07459,ekte
1566,18-29,2015,880,personer,ssb_07459,ekte
1566,30-49,2015,1422,personer,ssb_07459,ekte
1566,50-66,2015,1357,personer,ssb_07459,ekte
1566,67-79,2015,783,personer,ssb_07459,ekte
1566,80-89,2015,263,personer,ssb_07459,ekte
1566,90+,2015,57,personer,ssb_07459,ekte
1566,alle,2015,5976,personer,ssb_07459,ekte
1573,0-17,2015,405,personer,ssb_07459,ekte
1573,18-29,2015,273,personer,ssb_07459,ekte
1573,30-49,2015,493,personer,ssb_07459,ekte
1573,50-66,2015,540,personer,ssb_07459,ekte
1573,67-79,2015,295,personer,ssb_07459,ekte
1573,80-89,2015,112,personer,ssb_07459,ekte
1573,90+,2015,28,personer,ssb_07459,ekte
1573,alle,2015,2146,personer,ssb_07459,ekte
1576,0-17,2015,696,personer,ssb_07459,ekte
