region_id,region_navn,region_type,tjenesteomrade,aldersgruppe,diagnose_kode,diagnose_navn,metric,period,value,unit,source_id,quality
0,Hele landet,land,SOM,0-17,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",pasienter,2015,45393,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",pasienter_dogn,2015,5898,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",dognopphold,2015,6576,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XVIII,"(R00-R99) Symptomer, tegn, unormale kliniske funn og laboratoriefunn, ikke klassifisert annet sted",oppholdsdogn,2015,9366,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,pasienter,2015,125916,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,pasienter_dogn,2015,33690,personer,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,dognopphold,2015,34314,antall,ssb_14824,ekte
0,Hele landet,land,SOM,0-17,XXI,(Z00-Z99) Faktorer som har betydning for helsetilstand og kontakt med helsetjenesten,oppholdsdogn,2015,93318,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,_T,I alt,pasienter,2015,288678,personer,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,_T,I alt,pasienter_dogn,2015,66240,personer,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,_T,I alt,dognopphold,2015,89040,antall,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,_T,I alt,oppholdsdogn,2015,274188,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,pasienter,2015,10551,personer,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,pasienter_dogn,2015,1776,personer,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,dognopphold,2015,1932,antall,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,I,(A00-B99) Visse infeksjonssykdommer og parasittsykdommer,oppholdsdogn,2015,6858,dogn,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,II,(C00-D48) Svulster,pasienter,2015,13416,personer,ssb_14824,ekte
0,Hele landet,land,SOM,18-29,II,(C00-D48) Svulster,pasienter_dogn,2015,903,personer,ssb_14824,ekte
